feature,importance
enter_fluid_temp_t-52,0.015721973
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-57,0.015653638
check_tier-1_cooling_system_cool_output_apc-rc-24_cool_output_t-25,0.01561201
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-45,0.015500988
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-46,0.015336347
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-45,0.015283572
check_tier-1_cooling_system_cool_output_apc-rc-27_cool_output_t-60,0.015142293
enter_fluid_temp_t-27,0.015130749
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-36,0.015086298
check_tier-1_cooling_system_cool_output_apc-rc-2_cool_output_t-41,0.01499587
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-27_fluid_temp_t-28,0.014576167
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-24_fluid_temp_t-59,0.014564904
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-36,0.014469876
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-40,0.014413843
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-41,0.014210319
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-48,0.014041476
check_tier-1_cooling_system_temp_apc-rc-13_unit_air_temp_t-31,0.013969102
check_tier-1_cooling_system_temp_apc-rc-27_return_air_temp_t-21,0.013919649
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-49,0.013855685
check_tier-1_cooling_system_temp_apc-rc-10_unit_air_temp_t-22,0.013792488
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-33,0.013692688
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-5_fluid_temp_t-44,0.013582285
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-32,0.013437245
